name,thumbnail.path,thumbnail.extension
Elektra,http://i.annihil.us/u/prod/marvel/i/mg/8/d0/51114fec4a2c8,jpg
Elite,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Empath,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4ce59faf350ea,jpg
Emplate,http://i.annihil.us/u/prod/marvel/i/mg/f/10/4bb3bcffb8325,jpg
Erik the Red,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Exiles,http://i.annihil.us/u/prod/marvel/i/mg/f/c0/4ce59fbab92f5,jpg
Exodus,http://i.annihil.us/u/prod/marvel/i/mg/e/20/52695589e1721,jpg
Expediter,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Falcon,http://i.annihil.us/u/prod/marvel/i/mg/f/b0/5111505fb7009,jpg
Famine,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Fantastic Four,http://i.annihil.us/u/prod/marvel/i/mg/9/60/50febc4f55525,jpg
Fantomex,http://i.annihil.us/u/prod/marvel/i/mg/2/20/4c003f010d084,jpg
Fenris,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Fin Fang Foom,http://i.annihil.us/u/prod/marvel/i/mg/a/60/4ce59fc647d58,jpg
Firebrand,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Firelord,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/4ce59fd314c38,jpg
Firestar,http://i.annihil.us/u/prod/marvel/i/mg/7/03/526032b8247e8,jpg
Force Works,http://i.annihil.us/u/prod/marvel/i/mg/6/a0/52740df74b57d,jpg
Forearm,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Forge,http://i.annihil.us/u/prod/marvel/i/mg/a/90/5269585071503,jpg
Emma Frost,http://i.annihil.us/u/prod/marvel/i/mg/9/80/51151ef7cf4c8,jpg
Rumiko Fujikawa,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Galactus,http://i.annihil.us/u/prod/marvel/i/mg/5/03/528d31a791308,jpg
